,Bulk modulus,Shear modulus,Density,Porosity,Compressional velocity,Shear velocity,Young modulus,Poisson ratio
Normal105,13.438394,10.549323,2.0861506,0.34172693,3.6310008,2.2487411,25.084164,0.18889926
30_4_15_2.0,14.8261,11.653882,2.0259407,0.37821788,3.8714218,2.3984017,27.703085,0.18857753
100_4_7_2.0,15.956458,13.2408495,2.0808282,0.3449526,4.0190377,2.52255,31.1158,0.1749926
10_4_5_2.0,16.799213,14.050015,2.0984793,0.3342551,4.114916,2.587534,32.96106,0.17299007
10_4_15_2.0,16.98609,14.153399,2.1063662,0.32947502,4.1259294,2.5921698,33.23058,0.17394325
30_4_7_2.0,17.028448,14.480674,2.102698,0.3316981,4.1570015,2.6242542,33.847572,0.1687154
100_4_15_4.0,17.155561,14.213836,2.113252,0.32530192,4.13354,2.5934627,33.413513,0.17538695
30_4_5_4.0,17.41637,15.12484,2.1195757,0.32146925,4.2108545,2.6712892,35.188354,0.16326363
70_4_5_4.0,17.449131,15.2268915,2.1276035,0.31660396,4.2123327,2.6752248,35.38719,0.1619966
70_4_10_4.0,17.501215,14.64536,2.1162097,0.32350928,4.1830006,2.630696,34.353516,0.17284638
70_4_15_4.0,17.655472,14.88918,2.123863,0.31887096,4.2023964,2.6477206,34.866386,0.17086324
50_4_7_3.0,17.746801,14.864604,2.131951,0.31396917,4.197691,2.6405115,34.860764,0.1726099
100_4_15_3.0,17.829851,15.049674,2.1280553,0.31633005,4.2199345,2.6593292,35.23531,0.17063372
10_4_5_3.0,17.884878,15.822459,2.143397,0.3070321,4.264596,2.7169752,36.657333,0.15839548
fourier_full_res_dowscaled,17.91187,15.817157,2.149427,0.3033777,4.259698,2.7127068,36.66042,0.15888149
siren_downscale,18.059446,16.039793,2.1205707,0.3208662,4.312948,2.7502553,37.127563,0.15735787
70_4_10_3.0,18.063164,15.795311,2.151307,0.3022381,4.2644997,2.7096481,36.691105,0.16145554
10_4_15_3.0,18.201977,15.459102,2.1427205,0.3074421,4.2561026,2.6860209,36.144646,0.16904101
70_4_10_2.0,18.269402,16.01911,2.1544673,0.30032286,4.2887654,2.7267745,37.188137,0.16074297
