,Bulk modulus,Shear modulus,Density,Porosity,Compressional velocity,Shear velocity,Young modulus,Poisson ratio
bestfourier_Normal_1_0.5,15.748547,13.040509,2.0834553,0.34336042,3.9880192,2.5018148,30.659143,0.1755347
best_fourier_full_res,17.350601,14.910766,2.1283445,0.31615484,4.182491,2.646848,34.771614,0.16599028
best_so_far_fourier_132,17.350327,14.673785,2.1250925,0.31812572,4.1678753,2.6277387,34.340397,0.17012732
better_siren,14.835422,12.364563,2.026252,0.37802917,3.9316478,2.47026,29.02897,0.1738777
fourier_132,18.227423,16.227654,2.170466,0.29062665,4.285639,2.7343328,37.541924,0.15672673
Normal_1_0.5,13.438394,10.549323,2.0861506,0.34172693,3.6310008,2.2487411,25.084164,0.18889926
pmatched_fou_batch_222_epoch1500_lr0_1em2Normal_1_0.5,15.635181,12.991699,2.0856256,0.3420452,3.9751964,2.4958289,30.521406,0.17465033
pmatched_fou_batch_222_epoch3000_lr0_1em3Normal_1_0.5,16.278913,13.673379,2.0856268,0.34204432,4.0677543,2.5604696,32.04745,0.17189202
pmatched_fou_batch_2_10Normal_1_0.5,16.03668,12.7599325,2.0834546,0.34336087,3.9828434,2.4747548,30.255356,0.1855609
pm_better_siren,16.450583,14.36879,2.0828614,0.34372044,4.1347523,2.6265152,33.386013,0.1617545
